Residence,Region,Sub-Region,Total,Period
"Others, Asia",Asia,,1108,2011-12
"Others, Southeast Asia",Asia,Southeast Asia,7029,2011-12
Thailand,Asia,Southeast Asia,9051,2011-12
Philippines,Asia,Southeast Asia,8901,2011-12
Indonesia,Asia,Southeast Asia,15025,2011-12
Singapore,Asia,Southeast Asia,56511,2011-12
Malaysia,Asia,Southeast Asia,42601,2011-12
Middle East,Asia,,925,2011-12
India,Asia,,1590,2011-12
"Korea,Republic of",Asia,,20802,2011-12
Japan,Asia,,128772,2011-12
Mainland China,Asia,,181317,2011-12
HongKong. Macao,Asia,,97199,2011-12
Mexico,America,,100,2011-12
"Others, Africa",Africa,,269,2011-12
Brazil,America,,361,2011-12
Belgium,Europe,,275,2011-12
"Others, Oceania",Oceania,,74,2011-12
New Zealand,Oceania,,1242,2011-12
Australia,Oceania,,7284,2011-12
"Others, Europe",Europe,,2383,2011-12
Russian Federation,Europe,,528,2011-12
Sweden,Europe,,529,2011-12
Greece,Europe,,79,2011-12
Austria,Europe,,448,2011-12
United Kingdom,Europe,,3288,2011-12
Spain,Europe,,504,2011-12
Switzerland,Europe,,528,2011-12
Netherlands,Europe,,1142,2011-12
Italy,Europe,,830,2011-12
Germany,Europe,,3279,2011-12
France,Europe,,2410,2011-12
Argentina,America,,91,2011-12
"Others, America",America,,454,2011-12
"Korea,Republic of",Asia,,25760,2012-01
Unstated,,,2670,2012-01
Argentina,America,,100,2012-01
Brazil,America,,421,2012-01
Mexico,America,,111,2012-01
United States of America,America,,32628,2012-01
Canada,America,,6234,2012-01
"Others, Asia",Asia,,839,2012-01
"Others, Southeast Asia",Asia,Southeast Asia,785,2012-01
Vietnam,Asia,Southeast Asia,5519,2012-01
Thailand,Asia,Southeast Asia,5407,2012-01
Philippines,Asia,Southeast Asia,7530,2012-01
Indonesia,Asia,Southeast Asia,11634,2012-01
Singapore,Asia,Southeast Asia,15044,2012-01
Malaysia,Asia,Southeast Asia,20638,2012-01
Middle East,Asia,,728,2012-01
India,Asia,,1445,2012-01
Mainland China,Asia,,140432,2012-01
Japan,Asia,,93578,2012-01
Belgium,Europe,,269,2012-01
Germany,Europe,,2917,2012-01
"Others, Africa",Africa,,220,2012-01
S. Africa,Africa,,426,2012-01
"Others, Oceania",Oceania,,60,2012-01
New Zealand,Oceania,,1073,2012-01
Australia,Oceania,,6992,2012-01
"Others, Europe",Europe,,1743,2012-01
Russian Federation,Europe,,357,2012-01
Sweden,Europe,,493,2012-01
Greece,Europe,,54,2012-01
Austria,Europe,,431,2012-01
United Kingdom,Europe,,3633,2012-01
Spain,Europe,,386,2012-01
Switzerland,Europe,,480,2012-01
Netherlands,Europe,,1110,2012-01
Italy,Europe,,782,2012-01
France,Europe,,2236,2012-01
"Others, America",America,,542,2012-01
HongKong. Macao,Asia,,64357,2012-01
Austria,Europe,,479,2012-02
United States of America,America,,27417,2012-02
Canada,America,,4874,2012-02
"Others, Asia",Asia,,852,2012-02
"Others, Southeast Asia",Asia,Southeast Asia,581,2012-02
Vietnam,Asia,Southeast Asia,9573,2012-02
Thailand,Asia,Southeast Asia,9060,2012-02
